title,views,when,words
Tyrus welcomes you to 'FOX News Saturday Night',95000,30240,"['tyrus', 'welcomes', 'you', 'to', 'fox', 'news', 'saturday', 'night']"
Walgreens locking down its aisles in wake of robberies,240000,30240,"['walgreens', 'locking', 'down', 'its', 'aisles', 'in', 'wake', 'of', 'robberies']"
Joey Jones: Democrats are sitting back and watching the debt ceiling climb,29000,30240,"['joey', 'jones', 'democrats', 'are', 'sitting', 'back', 'and', 'watching', 'the', 'debt', 'ceiling', 'climb']"
East Palestine resident says 'anxiety still very real' four months following derailment,27000,30240,"['east', 'palestine', 'resident', 'says', 'anxiety', 'still', 'very', 'real', 'four', 'months', 'following', 'derailment']"
New CA law could put these goat herders out of a job,131000,30240,"['new', 'ca', 'law', 'could', 'put', 'these', 'goat', 'herders', 'out', 'of', 'a', 'job']"
Murder in the Ivy League: The death of Annie Le | The FOX True Crime Podcast,12000,30240,"['murder', 'in', 'the', 'ivy', 'league', 'the', 'death', 'of', 'annie', 'le', 'the', 'fox', 'true', 'crime', 'podcast']"
Gutfeld: Trump told us not to joke about Biden's mental health,416000,30240,"['gutfeld', 'trump', 'told', 'us', 'not', 'to', 'joke', 'about', 'bidens', 'mental', 'health']"
Trump: My presidency was under siege from day one,79000,30240,"['trump', 'my', 'presidency', 'was', 'under', 'siege', 'from', 'day', 'one']"
Jen Psaki torched for 'BS' claim about Republican voters,103000,30240,"['jen', 'psaki', 'torched', 'for', 'bs', 'claim', 'about', 'republican', 'voters']"
Tyrus tears into Biden admin: 'This is The Wizard of Oz',264000,40320,"['tyrus', 'tears', 'into', 'biden', 'admin', 'this', 'is', 'the', 'wizard', 'of', 'oz']"
Hunter Biden expected to use the Second Amendment as legal defense,119000,40320,"['hunter', 'biden', 'expected', 'to', 'use', 'the', 'second', 'amendment', 'as', 'legal', 'defense']"
Trump touts success of his energy policies: 'We have liquid gold',44000,40320,"['trump', 'touts', 'success', 'of', 'his', 'energy', 'policies', 'we', 'have', 'liquid', 'gold']"
How Equity & Progress Are Killing People,10000,40320,"['how', 'equity', 'progress', 'are', 'killing', 'people']"
Trump reveals actions he'll take in first 6 months as president,360000,40320,"['trump', 'reveals', 'actions', 'hell', 'take', 'in', 'first', 'months', 'as', 'president']"
‘The Five’: Oakland residents have had enough of rampant crime,384000,40320,"['the', 'five', 'oakland', 'residents', 'have', 'had', 'enough', 'of', 'rampant', 'crime']"
Dodgers star stands up against Pride invite to anti-Catholic group,275000,40320,"['dodgers', 'star', 'stands', 'up', 'against', 'pride', 'invite', 'to', 'anticatholic', 'group']"
